# source=Generated from data/ammo/ JSON + validate_and_clean_tsv.py
model	bullet_diameter_mm	projectile_mass_g	bc_g1	bc_g7	drag_model
model	bullet_diameter_mm	projectile_mass_g	bc_g1	bc_g7	drag_model
100rnd762x54mmlps	7.62	9.6	0	0.21	7
127x108	12.7	41.9	0	0.67	7
127x108m33	12.7	42.8	0	0.34	7
127x108x2	12.7	41.9	0	0.67	7
127x108x4	12.7	41.9	0	0.67	7
127x77	12.7	41.9	0	0.67	7
127x99	12.7	41.9	0	0.67	7
127x99api	12.954	41.99	0	0.34	7
127x99ballamax	12.954	48.6	0	1.05	1
127x99x2	12.7	41.9	0	0.67	7
127x99x4	12.7	41.9	0	0.67	7
12gaugepellets	18.5	28.0	0.04	0	1
145x114	14.5	60.0	0	0.7	7
145x114x2	14.5	60.0	0	0.7	7
145x114x4	14.5	60.0	0	0.7	7
19mmhe	9.0	8.0	0.165	0	1
20mmdgnwpammo	20.0	100.0	0	0.8	7
20mmf1n60fragammo	20.0	100.0	0	0.8	7
20mmkgnfragammo	20.0	100.0	0	0.8	7
20mmpgn60heatammo	20.0	100.0	0	0.8	7
224valkyrie	5.56	3.9	0	0.15	7
22mmm22smokeammo	12.7	41.9	0	0.67	7
22mmm60fragammo	7.62	9.5	0	0.2	7
22mmm60heatammo	7.62	9.5	0	0.2	7
22mmm9heatammo	9.0	8.0	0	0.165	7
25mmap	25.0	230.0	0	0.9	7
3006springfield	7.823	10.7	0	0.2	7
300blksubsonicball	7.82	14.3	0	0.313	7
300blksupersonicball	7.82	7.1	0	0.139	7
30x155	0.3	10.0	0	0.2	7
30x155x6	0.3	10.0	0	0.2	7
338ball	8.585	19.44	0	0.368	7
338ballapi526	8.585	16.3941242	0	0.29	7
357	5.56	4.0	0.151	0	1
3bm22ammo	12.7	41.9	0	0.67	7
3bm26ammo	12.7	41.9	0	0.67	7
3bm29ammo	12.7	41.9	0	0.67	7
408ball	10.363	19.7637	0	0.279	7
40mmbasesmokeammo	40.0	230.0	0	0	1
40mmgreen	40.0	230.0	0	0	1
40mmgreeninstant	40.0	230.0	0	0	1
40mmheammo	40.0	230.0	0	0	1
40mmhevammo	40.0	230.0	0	0	1
40mmm381heammo	40.0	230.0	0	0	1
40mmm397abammo	40.0	230.0	0	0	1
40mmm397absubammo	40.0	230.0	0	0	1
40mmm406heammo	40.0	230.0	0	0	1
40mmm433hedpammo	40.0	230.0	0	0	1
40mmm576buckammo	40.0	230.0	0	0	1
40mmm651csammo	40.0	230.0	0	0	1
40mmm651cssubammo	40.0	230.0	0	0	1
40mmm680smokewammo	40.0	230.0	0	0	1
40mmm680smokewsubammo	40.0	230.0	0	0	1
40mmm682smokerammo	40.0	230.0	0	0	1
40mmm682smokersubammo	40.0	230.0	0	0	1
40mmm715smokegammo	40.0	230.0	0	0	1
40mmm715smokegsubammo	40.0	230.0	0	0	1
40mmm716smokeyammo	40.0	230.0	0	0	1
40mmm716smokeysubammo	40.0	230.0	0	0	1
40mmm717smokepammo	40.0	230.0	0	0	1
40mmm717smokepsubammo	40.0	230.0	0	0	1
40mmred	40.0	230.0	0	0	1
40mmredinstant	40.0	230.0	0	0	1
40mmwhite	40.0	230.0	0	0	1
40mmwhiteinstant	40.0	230.0	0	0	1
