# source=Extracted from Arma 3 PBO config dumps via SQF/config parser; RHA values calibrated against NIJ 0101.06, NIJ 0108.01
# confidence=Estimated for vanilla items, researched for DLC/CDLC items (see data/armor/standards/ & data/sources/)
# classname	item_type	clothing_category	primary_material	backing_material	thickness_mm	nij_rating	rha_mm	confidence	manufacturer	model	camo
1	Vest	plate_carrier	ceramic_sic	uhmwpe	31.4	IV	110	0.50	Generic	1	
1_FTHS	Headgear	headwear	ceramic_al2o3	kevlar_liner	44.0	IV	110	0.62	Ops-Core	FTHS	
2	Vest	plate_carrier	ceramic_sic	uhmwpe	31.4	IV	110	0.50	Generic	2	
2_FTHS	Headgear	headwear	ceramic_al2o3	kevlar_liner	44.0	IV	110	0.62	Ops-Core	FTHS	
3	Vest	plate_carrier	ceramic_sic	uhmwpe	31.4	IV	110	0.50	Generic	3	
3_FTHS	Headgear	headwear	ceramic_al2o3	kevlar_liner	44.0	IV	110	0.62	Ops-Core	FTHS	
4	Vest	plate_carrier	ceramic_sic	uhmwpe	31.4	IV	110	0.50	Generic	4	
4_FTHS	Headgear	headwear	ceramic_al2o3	kevlar_liner	44.0	IV	110	0.62	Ops-Core	FTHS	
5	Vest	plate_carrier	ceramic_sic	uhmwpe	31.4	IV	110	0.50	Generic	5	
5_FTHS	Headgear	headwear	ceramic_al2o3	kevlar_liner	44.0	IV	110	0.62	Ops-Core	FTHS	
6	Vest	plate_carrier	ceramic_sic	uhmwpe	31.4	IV	110	0.50	Generic	6	
6_FTHS	Headgear	headwear	ceramic_al2o3	kevlar_liner	44.0	IV	110	0.62	Ops-Core	FTHS	
7	Vest	plate_carrier	ceramic_sic	uhmwpe	31.4	IV	110	0.50	Generic	7	
7_FTHS	Headgear	headwear	ceramic_al2o3	kevlar_liner	44.0	IV	110	0.62	Ops-Core	FTHS	
8	Vest	plate_carrier	ceramic_sic	uhmwpe	31.4	IV	110	0.50	Generic	8	
8_FTHS	Headgear	headwear	ceramic_al2o3	kevlar_liner	44.0	IV	110	0.62	Ops-Core	FTHS	
9	Vest	plate_carrier	ceramic_sic	uhmwpe	31.4	IV	110	0.50	Generic	9	
9_FTHS	Headgear	headwear	ceramic_al2o3	kevlar_liner	44.0	IV	110	0.62	Ops-Core	FTHS	
AOR2_Boonie	Headgear	headwear	cloth		0.0	N/A	0	0.75	Generic	Boonie Hat	AOR-2
AOR2_Camo_TShirt	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Aor2 Camo Tshirt	AOR-2
AOR2_Cap	Headgear	cap	cloth		0.0	N/A	0	0.30	Generic	Aor2 Cap	AOR-2
AOR2_Helmet_IA	Headgear	ballistic_helmet	composite_kevlar		70.0	III	42	0.45	Generic	Aor2 Helmet Ia	AOR-2
AOR2_SS_camo	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Aor2 Ss	AOR-2
AOR2_camo	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Aor2	AOR-2
AOR2_opscore	Headgear	headwear	cloth		1200.0	N/A	12	0.30	Generic	Aor2 Opscore	AOR-2
AOR2_opscore_2	Headgear	headwear	cloth		1200.0	N/A	12	0.30	Generic	Aor2 Opscore 2	AOR-2
AOR_2_BCasual_camo	Uniform	uniform	cloth		0.0	N/A	0	0.71	Crye Precision	G3 Combat Uniform	AOR-2
AOR_2_BlkCasual_camo	Uniform	uniform	cloth		0.0	N/A	0	0.71	Crye Precision	G3 Combat Uniform	Black
AOR_2_CryeSS_Camo	Uniform	uniform	cloth		0.0	N/A	0	0.71	Crye Precision	G3 Combat Uniform	AOR-2
AOR_2_Crye_Camo	Uniform	uniform	cloth		0.0	N/A	0	0.71	Crye Precision	G3 Combat Uniform	AOR-2
