## New arma_weapon_map.tsv entries for unmapped weapon JSON classes in data/weapons/
## Only real-world weapons mapped — fictional ARMA 3 weapons (MX, Katiba, TRG, Mk20,
## SPAR, CTAR, SDAR, etc.) intentionally skipped.
## arma_key	weapon_id	match_type	notes
Aegis_MMG_FNMAG_240_F	fn_herstal_mag_m240	exact	M240 7.62mm GPMG
Aegis_MMG_FNMAG_Base	fn_herstal_mag_m240	exact	FN MAG 58 7.62mm GPMG
Aegis_arifle_M16A4_base_F	colt_m16a4	exact	M16A4 5.56mm 20" barrel
Aegis_hgun_Pistol_R57_F	fn_herstal_five_seven	exact	Five-seveN 5.7×28mm pistol
DMR_06_base_F	noreen_bad_news	exact	Noreen Bad News .50 cal Marksmen DLC
DMR_07_base_F	sig_sauer_cmr_76	exact	SIG Sauer CMR-76 .300 Win Marksmen DLC
HMG_M2	browning_m2hb	exact	M2HB .50 cal HMG
MMG_01_hex_F	general_dynamics_lwmmg	exact	LWMMG .338 Norma Mag Marksmen DLC
MMG_02_camo_F	heckler_koch_mg5	exact	HK MG5 7.62mm Marksmen DLC
R3F_FN_MAG58	fn_herstal_mag_m240	exact	FN MAG 58 7.62mm GPMG
R3F_G17	glock_glock_17	exact	Glock 17 9×19mm
R3F_HK416M	heckler_koch_hk416	exact	HK416 M 5.56mm 14.5" barrel
R3F_HK416S_HG	heckler_koch_hk416	variant	HK416 S HG 5.56mm 11" barrel
R3F_HK417L	heckler_koch_hk417	variant	HK417 L 7.62mm 20" barrel
R3F_HK417M	heckler_koch_hk417	exact	HK417 M 7.62mm 16" barrel
R3F_HK417S_HG	heckler_koch_hk417	variant	HK417 S HG 7.62mm 12" barrel
R3F_HKUSP	heckler_koch_usp	exact	HK USP 9×19mm
R3F_M107	barrett_m82_m107	exact	M107 .50 cal
R3F_M4S90	benelli_m1014	exact	M4 Super 90 12ga shotgun
R3F_MP5A5	heckler_koch_mp5	variant	MP5A5 9×19mm
R3F_MP5SD	heckler_koch_mp5sd	exact	MP5SD 9×19mm suppressed
R3F_Minimi	fn_herstal_minimi_m249	exact	Minimi 5.56mm
R3F_Minimi_762	fn_herstal_mag_m240	variant	Minimi 7.62mm Mk 3
